Method,NotFollowing_Count,Following_Count,NotFollowing_Recovery,Following_Recovery
CB,50,22,8,11
CT,49,23,12,7
FDR,40,32,6,13
LR,27,45,13,6
NN,65,7,17,2
RF,59,13,15,4
SVR,55,17,10,9
XGB,58,14,15,4
