,Model,MSE,MAE,R2
FDR,FDR,0.7027012318600259,0.6717601173056497,0.5764565918574385
CB,CB,0.8066896161312402,0.753933537380544,0.5137790374651021
NN,NN,58.64519916271925,5.024811876386142,-34.34757931024256
RF,RF,1.0050494915430557,0.82996875,0.39422037745212346
SVR,SVR,1.5768744967004886,1.05872603170672,0.049560797299629145
XGB,XGB,1.3022805738370375,0.9563437306508421,0.21506847064890333
LR,LR,237.70869380200233,9.49731131504232,-142.27561380747878
