Method,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
CB,88.0,59.0,2.1738,1.075
CT,92.0,55.0,1.9154,1.4273
FDR,65.0,82.0,2.2441,1.3274
LR,90.0,57.0,1.9553,1.3814
NN,139.0,8.0,1.6978,2.3406
RF,95.0,52.0,1.9051,1.4179
SVR,96.0,51.0,2.0086,1.2135
XGB,94.0,53.0,1.8872,1.4588
