Method,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
CB,173.0,92.0,1.8728,0.6848
FDR,128.0,137.0,1.5703,1.3577
LR,147.0,118.0,1.4966,1.4153
NN,79.0,186.0,1.3291,1.5161
RF,169.0,96.0,1.5799,1.25
SVR,135.0,130.0,1.363,1.5615
XGB,127.0,138.0,1.4409,1.4783
