Method,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
CB,28.0,15.0,1.7614,1.2792
FDR,33.0,10.0,1.748,1.0823
LR,18.0,25.0,1.1408,1.9189
NN,43.0,,1.5932,
RF,30.0,13.0,1.7577,1.2135
SVR,32.0,11.0,1.754,1.1255
XGB,28.0,15.0,1.7324,1.3333
