Method,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
CB,87.0,60.0,1.5287,1.45
CT,92.0,55.0,1.5978,1.3273
FDR,96.0,51.0,1.6979,1.1176
LR,63.0,84.0,1.2381,1.6905
NN,105.0,42.0,1.6476,1.119
RF,90.0,57.0,1.5889,1.3509
SVR,96.0,51.0,1.7083,1.098
XGB,97.0,50.0,1.5773,1.34
