Method,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
CB,128.0,91.0,2.1209,1.1281
CT,164.0,55.0,1.9126,1.0993
FDR,107.0,112.0,2.2503,1.1907
LR,114.0,105.0,1.496,1.939
NN,189.0,30.0,1.7236,1.6124
RF,151.0,68.0,1.9265,1.2241
SVR,151.0,68.0,1.9496,1.1727
XGB,142.0,77.0,1.8934,1.3672
