Method,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
CB,57.0,59.0,2.0351,1.5593
FDR,58.0,58.0,1.9138,1.6724
LR,41.0,75.0,1.6829,1.8533
NN,81.0,35.0,1.8272,1.7143
RF,65.0,51.0,1.9538,1.5882
SVR,84.0,32.0,1.8095,1.75
XGB,85.0,31.0,1.9294,1.4194
