Method,NotFollowing_Count,Following_Count,NotFollowing_Recovery,Following_Recovery
CB,54,18,14,5
CT,59,13,15,4
FDR,24,48,7,12
LR,16,56,6,13
NN,66,6,17,2
RF,48,24,10,9
SVR,66,6,17,2
XGB,39,33,10,9
