Method,NotFollowing_Count,Following_Count,NotFollowing_Avg_RCB,Following_Avg_RCB
CB,54.0,18.0,1.7584,1.3592
CT,59.0,13.0,1.7201,1.3792
FDR,24.0,48.0,1.8054,1.5851
LR,16.0,56.0,1.4,1.7324
NN,66.0,6.0,1.6669,1.5668
RF,48.0,24.0,1.7636,1.4485
SVR,66.0,6.0,1.6669,1.5668
XGB,39.0,33.0,1.7303,1.5738
