,Model,MSE,MAE,R2
FDR,FDR,0.7216391430162005,0.6779827034076055,0.5650420289244038
CB,CB,0.853837007673718,0.7560716444532041,0.4853616020123769
NN,NN,555449.58816277,647.8924646707079,-334788.52498649346
RF,RF,0.9787861148625,0.8236459722222224,0.41005026299134517
SVR,SVR,1.5769020155567857,1.0587385468907131,0.04954421069118764
XGB,XGB,1.07812296804605,0.848059932705429,0.35017635436000416
LR,LR,2686.291303068815,36.35147296982825,-1618.1247747693208
